DistrictNbr|SYear|All_Subjects_All_Grades_Appr_18|All_Grades_ELA_Appr_18|All_Grades_Math_Appr_18
001902|17-18|80|82|86
001903|17-18|81|80|87
001904|17-18|81|79|86
001906|17-18|86|85|91
001907|17-18|70|67|76
001908|17-18|68|65|72
001909|17-18|83|84|84
002901|17-18|73|70|79
003801|17-18|80|77|84
003902|17-18|86|86|92
003903|17-18|73|69|80
003904|17-18|77|74|83
003905|17-18|72|68|79
003906|17-18|67|65|75
003907|17-18|77|74|82
004901|17-18|73|69|81
005901|17-18|87|88|87
005902|17-18|86|87|88
005904|17-18|86|84|92
006902|17-18|77|70|84
007901|17-18|72|70|76
007902|17-18|75|71|78
007904|17-18|59|58|66
007905|17-18|70|65|76
007906|17-18|71|68|77
008901|17-18|78|78|81
008902|17-18|73|71|76
008903|17-18|80|78|80
009901|17-18|69|69|76
010901|17-18|77|77|76
010902|17-18|72|71|73
011901|17-18|66|62|72
011902|17-18|61|60|62
011904|17-18|73|70|73
011905|17-18|79|79|77
012901|17-18|89|86|95
013801|17-18|83|84|92
013901|17-18|65|60|71
013902|17-18|76|80|88
013903|17-18|66|70|69
013905|17-18|79|79|79
014801|17-18|39|-1|-1
014803|17-18|63|63|65
014804|17-18|89|90|89
014901|17-18|83|79|89
014902|17-18|66|67|68
014903|17-18|80|78|84
014905|17-18|87|84|92
014906|17-18|73|70|79
014907|17-18|77|77|80
014908|17-18|83|82|85
014909|17-18|66|61|72
014910|17-18|79|79|80
015801|17-18|43|-1|-1
015802|17-18|71|67|76
015805|17-18|57|62|49
015806|17-18|65|63|70
015807|17-18|59|56|57
015808|17-18|69|76|63
015809|17-18|64|65|72
015814|17-18|-1|-1|-1
015815|17-18|70|71|78
015822|17-18|66|68|67
015825|17-18|68|67|74
015826|17-18|71|69|75
015827|17-18|82|81|85
015828|17-18|77|75|82
015830|17-18|62|67|61
015831|17-18|80|79|88
015833|17-18|73|-1|-1
015834|17-18|95|96|96
015835|17-18|91|92|91
015836|17-18|93|96|96
015837|17-18|56|63|53
015838|17-18|66|74|62
015901|17-18|85|86|87
015904|17-18|70|65|76
015905|17-18|59|56|66
015906|17-18|90|91|93
015907|17-18|60|58|65
015908|17-18|63|59|66
015909|17-18|68|65|71
015910|17-18|81|79|83
015911|17-18|60|60|59
015912|17-18|70|65|75
015913|17-18|85|85|90
015914|17-18|85|85|86
015915|17-18|80|78|83
015916|17-18|73|71|77
015917|17-18|62|59|66
016901|17-18|79|73|83
016902|17-18|83|80|87
017901|17-18|89|93|90
018901|17-18|80|78|82
018902|17-18|75|79|75
018903|17-18|63|61|70
018904|17-18|75|70|83
018905|17-18|58|57|64
018906|17-18|84|82|91
018907|17-18|68|68|73
018908|17-18|58|-1|59
019901|17-18|69|66|77
019902|17-18|81|76|86
019903|17-18|73|74|73
019905|17-18|71|70|75
019906|17-18|82|78|91
019907|17-18|74|70|78
019908|17-18|61|58|65
019909|17-18|73|70|83
019910|17-18|90|92|90
019911|17-18|94|93|96
019912|17-18|88|88|92
019913|17-18|72|79|-1
019914|17-18|63|77|-1
020901|17-18|76|73|82
020902|17-18|78|76|83
020904|17-18|86|85|90
020905|17-18|72|69|78
020906|17-18|77|74|82
020907|17-18|69|66|73
020908|17-18|88|86|92
020910|17-18|55|48|65
021803|17-18|51|48|60
021805|17-18|77|76|83
021901|17-18|83|81|87
021902|17-18|66|63|71
022004|17-18|61|55|67
022901|17-18|80|78|79
022902|17-18|90|100|-1
022903|17-18|95|-1|-1
023902|17-18|83|80|91
024901|17-18|65|62|72
025901|17-18|78|77|75
025902|17-18|72|71|74
025904|17-18|73|79|70
025905|17-18|71|66|71
025906|17-18|84|80|90
025908|17-18|73|67|73
025909|17-18|85|83|89
026901|17-18|76|74|80
026902|17-18|62|61|69
026903|17-18|66|62|76
027903|17-18|71|69|73
027904|17-18|71|70|75
028902|17-18|65|62|69
028903|17-18|60|60|63
028906|17-18|57|58|55
029901|17-18|78|74|85
030901|17-18|76|77|79
030902|17-18|77|76|84
030903|17-18|80|76|80
030906|17-18|76|76|82
031901|17-18|78|74|85
031903|17-18|77|73|83
031905|17-18|74|69|82
031906|17-18|86|83|89
031909|17-18|71|68|75
031911|17-18|71|64|77
031912|17-18|70|66|76
031913|17-18|62|53|76
031914|17-18|73|68|79
031916|17-18|95|93|97
032902|17-18|87|85|94
033901|17-18|88|86|91
033902|17-18|89|86|95
033904|17-18|81|82|86
034901|17-18|77|75|81
034902|17-18|66|69|-1
034903|17-18|80|80|82
034905|17-18|76|79|75
034906|17-18|80|76|88
034907|17-18|77|75|81
034909|17-18|63|64|72
035901|17-18|66|63|71
035902|17-18|68|62|73
035903|17-18|94|92|97
036901|17-18|81|78|87
036902|17-18|93|91|96
036903|17-18|79|77|86
037901|17-18|73|68|82
037904|17-18|74|71|79
037907|17-18|78|77|84
037908|17-18|71|68|82
037909|17-18|72|73|79
038901|17-18|83|81|89
039902|17-18|82|82|88
039903|17-18|73|75|75
039904|17-18|79|83|81
039905|17-18|72|72|72
040901|17-18|52|52|58
040902|17-18|79|75|84
041901|17-18|82|84|83
041902|17-18|76|69|82
042901|17-18|69|67|72
042903|17-18|73|74|78
042905|17-18|84|85|-1
043801|17-18|96|96|97
043802|17-18|86|-1|-1
043901|17-18|93|91|94
043902|17-18|77|75|83
043903|17-18|90|89|93
043904|17-18|86|85|88
043905|17-18|92|92|94
043907|17-18|85|84|88
043908|17-18|91|88|93
043910|17-18|86|86|88
043911|17-18|83|77|90
043912|17-18|92|91|94
043914|17-18|91|88|94
043917|17-18|83|79|86
043918|17-18|77|74|81
043919|17-18|96|95|98
044902|17-18|82|80|84
045902|17-18|75|70|80
045903|17-18|73|69|79
045905|17-18|82|77|87
046802|17-18|-1|-1|-1
046901|17-18|85|85|88
046902|17-18|86|84|90
047901|17-18|77|75|81
047902|17-18|86|84|89
047903|17-18|71|73|78
047905|17-18|70|71|65
048901|17-18|67|70|71
048903|17-18|63|62|60
049901|17-18|67|61|76
049902|17-18|94|94|94
049903|17-18|72|71|77
049905|17-18|88|89|89
049906|17-18|85|88|87
049907|17-18|93|95|95
049908|17-18|79|92|92
049909|17-18|72|75|-1
050901|17-18|65|67|66
050902|17-18|72|70|77
050904|17-18|70|73|68
050909|17-18|75|83|73
050910|17-18|76|74|81
051901|17-18|75|67|80
052901|17-18|70|66|77
053001|17-18|75|72|81
054901|17-18|60|57|65
054902|17-18|63|66|63
054903|17-18|66|64|72
055901|17-18|58|57|54
056901|17-18|68|64|75
056902|17-18|72|74|77
057802|17-18|56|61|55
057803|17-18|74|73|78
057804|17-18|55|38|64
057805|17-18|56|67|-1
057806|17-18|59|61|59
057807|17-18|69|70|68
057808|17-18|87|89|88
057809|17-18|62|-1|-1
057810|17-18|65|63|64
057813|17-18|76|78|80
057814|17-18|-1|-1|-1
057816|17-18|63|69|68
057819|17-18|59|68|61
057827|17-18|75|76|77
057828|17-18|53|-1|-1
057829|17-18|63|60|69
057830|17-18|67|65|76
057831|17-18|65|62|70
057833|17-18|72|73|75
057834|17-18|44|-1|-1
057835|17-18|78|76|86
057836|17-18|81|81|78
057837|17-18|61|60|67
057839|17-18|73|71|79
057840|17-18|100|-1|.
057841|17-18|62|59|68
057844|17-18|72|78|71
057845|17-18|85|85|89
057846|17-18|56|56|59
057847|17-18|67|70|64
057848|17-18|71|73|73
057849|17-18|52|60|58
057850|17-18|87|88|91
057903|17-18|75|73|79
057904|17-18|71|69|75
057905|17-18|71|66|77
057906|17-18|65|63|67
057907|17-18|67|65|70
057909|17-18|76|73|80
057910|17-18|74|70|80
057911|17-18|96|97|98
057912|17-18|69|64|77
057913|17-18|73|69|79
057914|17-18|72|67|78
057916|17-18|79|77|83
057919|17-18|93|93|94
057922|17-18|93|92|95
058902|17-18|65|64|67
058905|17-18|97|96|100
058906|17-18|62|57|71
058909|17-18|85|84|86
059901|17-18|68|68|76
059902|17-18|91|86|98
060902|17-18|77|75|83
060914|17-18|61|60|64
061802|17-18|64|66|70
061804|17-18|89|91|90
061805|17-18|87|89|89
061901|17-18|81|79|84
061902|17-18|84|83|86
061903|17-18|78|75|85
061905|17-18|78|78|82
061906|17-18|83|80|88
061907|17-18|86|83|92
061908|17-18|79|76|83
061910|17-18|94|93|95
061911|17-18|86|85|88
061912|17-18|82|79|88
061914|17-18|77|75|81
062901|17-18|75|72|81
062902|17-18|68|62|80
062903|17-18|71|68|76
062904|17-18|68|62|78
062905|17-18|84|88|92
062906|17-18|86|89|88
063903|17-18|70|69|79
063906|17-18|75|67|83
064903|17-18|66|63|75
065901|17-18|81|81|84
065902|17-18|90|86|98
066005|17-18|-1|-1|-1
066901|17-18|65|64|68
066902|17-18|69|71|70
066903|17-18|65|64|73
067902|17-18|82|85|82
067903|17-18|75|75|75
067904|17-18|70|68|72
067907|17-18|62|62|58
067908|17-18|77|79|80
068802|17-18|81|80|86
068803|17-18|79|77|77
068901|17-18|63|60|67
069901|17-18|67|71|68
069902|17-18|79|79|77
070801|17-18|51|49|58
070901|17-18|77|76|84
070903|17-18|75|71|83
070905|17-18|68|65|72
070907|17-18|72|74|77
070908|17-18|85|82|88
070909|17-18|64|68|68
070910|17-18|84|82|88
070911|17-18|77|74|82
070912|17-18|79|78|83
070915|17-18|77|74|76
071801|17-18|83|82|90
071803|17-18|65|-1|85
071804|17-18|65|-1|-1
071806|17-18|80|79|85
071807|17-18|70|72|83
071809|17-18|93|91|94
071810|17-18|74|74|79
071901|17-18|71|67|77
071902|17-18|75|71|81
071903|17-18|75|68|86
071904|17-18|70|64|81
071905|17-18|81|78|88
071906|17-18|75|73|81
071907|17-18|79|74|85
071908|17-18|65|57|77
071909|17-18|82|77|87
072801|17-18|71|64|59
072802|17-18|-1|-1|-1
072901|17-18|68|66|77
072902|17-18|85|80|91
072903|17-18|81|81|84
072904|17-18|74|78|74
072908|17-18|89|88|90
072909|17-18|77|77|82
072910|17-18|75|78|68
073901|17-18|80|77|85
073903|17-18|45|42|52
073904|17-18|83|84|91
073905|17-18|69|69|73
074903|17-18|67|67|71
074904|17-18|86|88|85
074905|17-18|72|74|76
074907|17-18|77|71|86
074909|17-18|73|73|76
074911|17-18|83|85|84
074912|17-18|79|78|82
074917|17-18|83|81|88
075901|17-18|89|87|91
075902|17-18|79|76|86
075903|17-18|72|72|73
075906|17-18|88|85|95
075908|17-18|82|75|90
076903|17-18|79|84|80
076904|17-18|77|70|84
077901|17-18|70|62|77
077902|17-18|63|57|74
078901|17-18|63|64|67
079901|17-18|84|82|87
079906|17-18|86|85|90
079907|17-18|82|81|85
079910|17-18|73|68|83
080901|17-18|78|77|86
081902|17-18|80|82|83
081904|17-18|78|77|84
081905|17-18|73|76|75
081906|17-18|81|85|82
082902|17-18|64|59|68
082903|17-18|58|54|64
083901|17-18|66|60|77
083902|17-18|70|79|65
083903|17-18|70|67|75
084802|17-18|72|71|77
084804|17-18|67|71|72
084901|17-18|76|71|82
084902|17-18|72|69|78
084903|17-18|72|74|82
084906|17-18|65|61|71
084908|17-18|64|60|69
084909|17-18|73|70|76
084910|17-18|84|84|87
084911|17-18|93|91|95
085902|17-18|70|69|77
085903|17-18|70|70|72
086024|17-18|-1|-1|-1
086901|17-18|79|76|85
086902|17-18|83|81|89
087901|17-18|90|87|94
088902|17-18|71|65|75
089901|17-18|65|60|75
089903|17-18|75|73|77
089905|17-18|63|61|67
090902|17-18|69|66|69
090903|17-18|84|82|85
090904|17-18|72|67|79
090905|17-18|81|76|-1
091901|17-18|86|82|89
091902|17-18|80|80|85
091903|17-18|80|76|84
091905|17-18|83|83|85
091906|17-18|72|71|75
091907|17-18|85|84|89
091908|17-18|87|85|90
091909|17-18|81|80|85
091910|17-18|84|81|87
091913|17-18|82|82|83
091914|17-18|75|71|80
091917|17-18|87|86|91
091918|17-18|77|72|82
092801|17-18|73|-1|-1
092901|17-18|70|68|74
092902|17-18|71|70|74
092903|17-18|78|75|85
092904|17-18|70|66|76
092906|17-18|83|81|86
092907|17-18|84|84|91
092908|17-18|80|84|84
093901|17-18|82|82|89
093903|17-18|80|82|82
093904|17-18|61|58|66
093905|17-18|68|72|65
094901|17-18|67|63|72
094902|17-18|84|82|88
094903|17-18|86|85|92
094904|17-18|84|81|87
095901|17-18|77|78|79
095902|17-18|77|83|72
095903|17-18|70|73|67
095904|17-18|78|75|87
095905|17-18|71|66|80
096904|17-18|69|67|74
096905|17-18|84|83|95
097902|17-18|74|70|79
097903|17-18|82|80|88
098901|17-18|91|86|97
098903|17-18|82|90|86
098904|17-18|84|80|93
099902|17-18|73|73|76
099903|17-18|74|72|80
100903|17-18|71|70|78
100904|17-18|80|75|86
100905|17-18|85|82|89
100907|17-18|81|81|83
100908|17-18|69|67|69
101802|17-18|77|74|83
101803|17-18|81|85|83
101804|17-18|44|39|48
101806|17-18|75|74|80
101807|17-18|78|83|81
101810|17-18|70|66|74
101811|17-18|-1|-1|-1
101813|17-18|80|78|83
101814|17-18|66|62|73
101815|17-18|82|89|87
101819|17-18|85|81|92
101821|17-18|63|-1|-1
101828|17-18|95|94|97
101837|17-18|92|89|90
101838|17-18|60|58|69
101840|17-18|74|77|84
101842|17-18|48|-1|-1
101845|17-18|78|74|83
101846|17-18|80|77|86
101847|17-18|84|83|86
101849|17-18|84|85|89
101853|17-18|61|59|72
101855|17-18|70|69|72
101856|17-18|60|60|72
101858|17-18|81|81|86
101859|17-18|79|82|78
101861|17-18|73|79|76
101862|17-18|90|91|94
101864|17-18|61|64|62
101868|17-18|47|43|-1
101870|17-18|92|95|94
101871|17-18|44|52|45
101902|17-18|69|64|77
101903|17-18|68|65|74
101905|17-18|74|69|83
101906|17-18|77|73|85
101907|17-18|83|81|86
101908|17-18|84|80|89
101910|17-18|76|72|84
101911|17-18|73|69|78
101912|17-18|70|66|76
101913|17-18|80|78|83
101914|17-18|89|88|92
101915|17-18|80|78|84
101916|17-18|81|77|86
101917|17-18|74|69|80
101919|17-18|65|62|70
101920|17-18|74|71|78
101921|17-18|91|90|94
101924|17-18|65|62|71
101925|17-18|76|74|78
102901|17-18|64|65|69
102902|17-18|62|60|65
102903|17-18|70|67|70
102904|17-18|85|84|89
102905|17-18|87|85|89
102906|17-18|84|85|86
103901|17-18|77|70|83
103902|17-18|87|83|91
104901|17-18|77|75|80
104903|17-18|66|74|-1
104907|17-18|83|82|91
105801|17-18|75|69|-1
105802|17-18|79|82|79
105803|17-18|-1|-1|-1
105902|17-18|70|68|72
105904|17-18|91|90|91
105905|17-18|85|85|88
105906|17-18|74|72|77
106901|17-18|88|89|91
107901|17-18|71|68|78
107902|17-18|78|76|83
107904|17-18|83|84|85
107905|17-18|82|83|83
107906|17-18|87|83|91
107907|17-18|70|71|74
107908|17-18|73|75|77
107910|17-18|76|79|73
108802|17-18|74|73|83
108804|17-18|59|-1|-1
108807|17-18|84|82|86
108808|17-18|84|84|89
108809|17-18|57|61|60
108902|17-18|70|60|80
108903|17-18|67|63|73
108904|17-18|78|73|84
108905|17-18|74|66|83
108906|17-18|79|75|84
108907|17-18|69|64|76
108908|17-18|75|70|82
108909|17-18|73|67|80
108910|17-18|68|60|79
108911|17-18|88|86|93
108912|17-18|72|65|80
108913|17-18|75|69|82
108914|17-18|65|63|69
108915|17-18|69|62|78
108916|17-18|85|80|92
109901|17-18|81|81|86
109902|17-18|73|74|81
109903|17-18|71|74|77
109904|17-18|67|67|66
109905|17-18|74|75|77
109907|17-18|72|74|75
109908|17-18|67|69|69
109910|17-18|67|62|78
109911|17-18|75|70|78
109912|17-18|84|84|92
109913|17-18|84|79|93
109914|17-18|75|70|80
110901|17-18|52|54|58
110902|17-18|73|71|77
